970	GOF	D065646	1	28383817
2475	GOF	D065646	2	29301825|25295501
3791	GOF	D065646	1	29615459
941	GOF	D065646	1	30123257
7157	GOF	D065646	2	9768682|26376962
673	GOF	D065646	7	27532222|21798995|23406047|26176686|26189429|26987976|18458053
1499	GOF	D065646	1	10213482
7015	GOF	D065646	1	24141777
238	GOF	D065646	1	21596819
1735	GOF	D065646	1	22823995
1848	GOF	D065646	1	23132790
5979	GOF	D065646	2	26265449|26868437
4193	GOF	D065646	1	8612724
238	LOF	D065646	1	28030793
7157	LOF	D065646	2	28068873|9661637
29126	LOF	D065646	1	28093480
6314	LOF	D065646	1	28584132
8842	LOF	D065646	1	28843268
7015	LOF	D065646	1	31230400
673	LOF	D065646	6	31277524|29072975|29161986|26384551|26680454|26980298
407019	LOF	D065646	1	29924913
4436	LOF	D065646	1	19706203
5290	LOF	D065646	1	27797976
6275	LOF	D065646	1	27802204
3082	LOF	D065646	1	10360640
4043	LOF	D065646	1	21367844
1026	LOF	D065646	1	7743505
836	LOF	D065646	1	26934320
3815	LOF	D065646	1	18622894
673	COM	D065646	1	27372303
4176	COM	D065646	1	15899946
